,구분,기업명,대표자,설립년도,업종,업태,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,제조(도매),제조(소매),"수입(제조, 도매)",수입(소매),국내(도매),국내(소매),정보통신공사 전문,우편번호,도로명 주소,지번주소,상세 주소,대표번호,FAX번호,E-MAIL,홈페이지,ICT 제품,일번 제품,총 원,관리직,연구기술직,영업직,AS가능인원
305,"시설원예, 축산",휴테크엘이디 유한회사,서수형,20141008,"제조,건설업, 소프트웨어개발 및 공급업","전기, 정보통신, 전문소방공사업, 패키지소프트웨어 개발 외",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,61008,광주광역시 북구 첨단과기로 333,광주광역시 북구 대촌동 958-3 광주테크노파크,"테크노파크 시험생산동 201호, 210호",0629728751,0629719695,hutechled@hanmail.net,www.hutechled.com,정보통신공사전문,,14,8,4,2,8
306,"시설원예, 축산",아이오티씨큐 유한회사,이해광,20080328,건설업외,정보통신공사업외,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,61011,광주광역시 북구 첨단과기로208번길 43-10,광주광역시 북구 오룡동 1110-22,"1113호(오룡동,첨단아이비씨지식산업센터)",0623655292,05053024789,ds4ram@nate.com,,정보통신공사 전문,,3,2,0,1,2
307,"시설원예, 축산",(주)티앤씨텍,전중서,20021101,"건설,제조업,도소매","통신공사,CCTV,방송음향,소프트웨어개발",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,37850,경상북도 포항시 남구 연일읍 철강로 51,경상북도 포항시 남구 연일읍 괴정리 127-1,(주)티앤씨텍,0542856609,0542852209,gykwon@tnctech.net,www.tnctech.net,정보통신공사 전문,,8,1,1,6,5
308,"시설원예, 축산",주식회사환경전력,김춘단,20140701,정보통신공사,건설,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,59016,전라남도 해남군 마산면 산이로 50-5,전라남도 해남군 마산면 상등리 391-4 해남택배,,0615371500,05026275252,hwan118800@daum.net,,정보통신공사 전문,,11,11,0,0,7
309,"시설원예, 축산",주식회사 무진전력,김석훈,20200501,건설업,"전기공사업,정보통신공사업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,61007,광주광역시 북구 첨단벤처소로38번길 19-4,광주광역시 북구 월출동 976-2 (주)무진전력,(주)무진전력,0629722057,0629722056,mujin2057@hanmail.net,,정보통신공사전문,,10,1,1,8,8
310,"시설원예, 축산",톱텔레콤(주),김기용,19950801,건설업,통신공사,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,17060,경기도 용인시 처인구 명지로 130,경기도 용인시 처인구 남동 614-1,614-1,027731880,025229644,ky2945@hanmail.net,,정보통신공사 전문,,4,0,4,0,4
311,시설원예,(주)워너비체인소프트,김성욱,20200701,소프트웨어 개발 및 공급,정보통신서비스,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,58750,전라남도 목포시 미항로 129,전라남도 목포시 상동 1159-14,6층 워너비체인소프트,0612875556,0612857776,whchaib@naver.com,,스마트팜 제어 시스템 및 자동화 프로그램개발,,20,7,11,2,5
312,"시설원예, 축산",영재전기(주),기호성,20091028,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,57328,전라남도 담양군 대전면 추성1로 201,전라남도 담양군 대전면 대치리 976-1,영재전기(주),0629730260,03030172234,9730260@hanmail.net,,정보통신공사전문,,21,5,10,6,15
313,"시설원예, 축산",(주)대한정보통신,오용학,20141116,정보통신공사업,건설업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,32223,충청남도 홍성군 홍성읍 조양로 114,충청남도 홍성군 홍성읍 오관리 115-1,1층,0416359987,0416311098,a6324469@naver.com,,정보통신공사 전문,,9,2,5,2,5
314,"시설원예, 축산",노아랩,최의경,20191014,제조 도소매,"ICT스머트팜, 정보통신부품 외",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,61051,광주광역시 북구 안산로 75,광주광역시 북구 삼각동 755-37,4층,0622670153,0622670153,cek1104@nate.com,www.ICT00.com,개발제품,환경정보수집기,3,1,2,1,2
315,"시설원예, 축산",주식회사 세기,김태수,20210126,"에어컨디셔너,제습기,항온항습기,공기조화기,냉동기 외",제조업,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,14445,경기도 부천시 오정로39번길 24-17,경기도 부천시 삼정동 18-14 세기정밀엔지니어링,주식회사 세기,0326761177,0326784216,kimyw@seggi.net,segicorp.kr,"냉난방기, 제습기, 항온항습기, 냉동기","공기조화기, 공기청정기, 열교환기 외",32,10,13,9,5
316,"시설원예, 축산",다모아텍,정후민,20151216,"반도체칩, 전자시스템개발및컨설팅","제조업,도소매,전문과학및기술서비스업",O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,O,O,X,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148 분당테크노파크,B동 604호,07043690904,0316969974,kl.lee@damoatech.com,www.damoatech.com,"토양센서, 양액센서, 온도센서",,8,2,6,0,4
317,"시설원예, 축산",(주)비전정보통신,문병국,20090803,"건설업,제조업","정보통신공사업,영상감시장치",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,O,17823,경기도 평택시 울성길 151,경기도 평택시 지제동 671-9,비전정보통신,0316588904,0316584904,visionc123@naver.com,www.vision119.com,정보통신공사업 전문,,6,3,2,1,14
318,시설원예,주식회사 우주,권의정,20120711,"제조업,도소매","콘트롤박스,자동제어부품,스마트팜,양액제어기,콘트롤박스,자동제어부품",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,55324,전라북도 완주군 봉동읍 봉동로 368,전라북도 완주군 봉동읍 은하리 303-1,,07082446999,0632620030,woojuias@naver.com,,제조(소매),,7,2,4,1,4
319,"시설원예, 축산",신한아그로,송금모,20140401,건설업,금속구조물 창호공사,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,59441,전라남도 보성군 조성면 조성로 150,전라남도 보성군 조성면 조성리 657-31,,0618576970,0618586970,skm6970@naver.com,,"외부환경기기, 내부환경기기, 구동제어부, 톱함제어부, 모니터링장비","양액기, 난방기, 농자재",8,4,2,2,2
320,"시설원예, 축산",세종기업(주),한승준,20100324,건설업,정보통신건사업 외,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,24034,강원도 철원군 갈말읍 호국로 4860-22,강원도 철원군 갈말읍 군탄리 902-69,,0334520422,0334520423,sejong0422@naver.com,,정보통신공사 전문,,9,2,5,2,4
321,"시설원예, 축산",하이콤주식회사,현원태,20040412,공사업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,47565,부산광역시 연제구 연안로13번길 57,부산광역시 연제구 연산동 397-6,,0516383500,0516385300,hicom24@daum.net,,"CCTV, NVR, DVR, 전광판, 전원제어장치",,6,2,0,4,2
322,"시설원예, 축산",(주)대성이엔씨,한선아,20160614,건설,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,24034,강원도 철원군 갈말읍 명성로 241,강원도 철원군 갈말읍 군탄리 934-4,,07042270404,0334520104,dsenc0404@naver.com,,정보통신공사전문,,7,1,5,1,5
323,"시설원예, 축산",(주)대해일렉스,김 광 수,20111122,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,25101,강원도 홍천군 서면 한치골길 843-19,강원도 홍천군 서면 팔봉리 1036,(주) 대해일렉스,0334356721,0334346721,daehae79@naver.com,,정보통신공사 전문,,23,20,2,1,8
324,"시설원예, 축산",완전정보통신(주),정현자,19991115,"통신공사, CCTV, 무인안내시스템, 자동제어반, 구내방송장치, 전광판, 소프트웨어개발 제조","건설업, 제조업, 도소매업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,O,55088,전라북도 전주시 완산구 하거마2길 22-4,전라북도 전주시 완산구 삼천동1가 673-8,완전정보통신(주),0632284824,0632284482,psc9924@naver.com,,"정보통신공사,  CCTV, 무인안내시스템, 자동제어반, 구내방송장치, LED전광판, 출입통제장치, 소프트웨어",,10,2,6,2,2
325,"시설원예, 축산",주식회사 삼부연,곽은주,20200722,제조업,영상감시장치 제조업,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,24055,강원도 철원군 김화읍 외골길 17-5,강원도 철원군 김화읍 청양리 2873-2,,0334550422,0334550423,sby455-0422@naver.com,,정보통신공사 전문,"CCTV, 태양광발전장치",9,2,5,2,5
326,"시설원예, 축산",(주)에스시큐리티,김학수,20030901,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,14120,경기도 안양시 동안구 경수대로 507,경기도 안양시 동안구 호계동 974,KT빌딩3층,0314299112,0314299547,s_hkpark@naver.com,,정보통신공사 전문,,31,3,25,3,15
327,"시설원예, 축산",대은전자(주),이홍주,19850130,"유무선통신장비,정보통신공사업","제조업,건설업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,14119,경기도 안양시 동안구 엘에스로91번길 45,경기도 안양시 동안구 호계동 1029 대은전자(주),대은전자(주),0314563571,0314522851,ocean953@dek.co.kr,www.dek.co.kr,정보통신공사전문,,18,12,2,4,5
328,"시설원예, 축산",영진정보통신(주),김영식,19980701,"건설,제조","통신설비공사,전기공사업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,08505,서울특별시 금천구 가산디지털2로 123,서울특별시 금천구 가산동 426-5 월드메르디앙2차,"(가산동, 월드메르디앙 벤처 2차 b105)",0221046611,0221046613,yyjj0277@daum.net,http://www.yjns.co.kr/,정보통신공사 전문,,20,3,14,3,3
329,"시설원예, 축산",(주)팬웨스트에스앤티,김건호,20070101,"통신장비, 방송통신장비","제조업,도매 및 소매업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,10251,경기도 고양시 일산동구 고봉로658번길 17,경기도 고양시 일산동구 성석동 1082-54,팬웨스트에스앤티,0319167012,0319167016,bjsong@panwestsnt.com,,정보통신공사 전문,,16,8,4,4,4
330,시설원예,(주)우성바이오플랜트,백선열,20170623,"건설업,도소매",금속구조물창호공사외,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,34013,대전광역시 유성구 테크노4로 17,대전광역시 유성구 관평동 684 비즈센터,대덕비즈센터 D동 503호,0429345204,0429345205,wsb5204@naver.com,,"복합환경제어시스템,양액시스템,스마트팜온실,유리온실",,8,4,2,2,2
331,"시설원예, 축산",주식회사하림아이티,윤진섭,20140310,정보통신공사업,건설,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,47564,부산광역시 연제구 과정로276번길 14,부산광역시 연제구 연산동 382-1,2층,0518176699,0518189500,hwashin0812@daum.net,,"cctv카메라, nvr, dvr, 저장 스토리지",,4,1,0,3,1
332,"시설원예, 축산",(주)더원티이씨,장광수,20140311,정보통신공사업,건설업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,54363,전라북도 김제시 봉황공단2길 30-3,전라북도 김제시 오정동 170-17,,0639030077,0639003606,gtech063@daum.net,,정보통신공사전문,,2,1,0,1,2
333,"시설원예, 축산",아룸테크주식회사,임주아,20200302,정？통신공사업,"제조,도.소매,정보통신공사업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,O,16942,경기도 용인시 수지구 광교중앙로 338,경기도 용인시 수지구 상현동 1220 광교우미뉴브,C동 509호,0318933100,0313077100,ahruhm@ahruhm.co.kr,www.ahruhm.co.kr,정보통신공사전문,"CCTV,전광판, 컴퓨터 및 주변기기",11,2,5,4,6
334,"시설원예, 축산",주식회사 지아이티,이수용,20090403,정보통신공사업,건설업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,24427,강원도 춘천시 퇴계공단길 64,강원도 춘천시 퇴계동 865-8,지아이티,0332436644,05058446644,gits@gits.co.kr,www.gits.co.kr,정보통신공사 전문,"네트워크장비, CCTV, DVR, 무선AP, 서버",18,3,12,3,5
335,"시설원예, 축산",삼성정보시스템주식회사,이임상,20010225,"통신공사, 전기공사업",건설,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,61111,광주광역시 북구 청계로 20-3,광주광역시 북구 용봉동 1410-3,1층,0625284600,0625150079,i5284600@daum.net,https://blog.naver.com/5284600,정보통신전문기업,"키폰, OS7400 삼성 통신주장치, CCTV 외",9,3,3,3,3
336,"시설원예, 축산",비젼하이텍,손경식,20000901,영상감시장치,제조,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,14640,경기도 부천시 부천로36번길 31,경기도 부천시 심곡동 150-3,비젼빌딩,0326107800,0326683113,domestic0@visionhitech.co.kr,,CCTV 카메라,,93,52,26,15,5
337,"시설원예, 축산",(주)하나넷,김기훈,20070201,정보통신공사,서비스,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,11652,경기도 의정부시 경의로 91-1,경기도 의정부시 의정부동 581-3,시몬빌딩 3층,0318270001,0318278582,kkhoun@nate.com,,정보통신공사전문,,4,3,0,1,6
338,"시설원예, 축산",제이에스엔 주식회사,김전수,20171201,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,54984,전라북도 전주시 완산구 영경2길 13,전라북도 전주시 완산구 중화산동2가 653-1,2층 제이에스엔 주식회사,0632415340,0632425340,kjs@ijsn.co.kr,,정보통신공사 전문,,5,2,2,1,1
339,"시설원예, 축산",(주)태원텍,김진경,20150828,"정보통신,전기공사외","건설,제조,전기업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,O,55440,전라북도 진안군 진안읍 거북바위로3길 15-15,전라북도 진안군 진안읍 연장리 1766,(주)태원텍,0634339981,03030954998,hana00091@daum.net,,정보통신공사전문/전기공사전문,,10,2,6,2,2
340,"시설원예, 축산",(유)주성산업,이경열,20140109,건설업,정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,56324,전라북도 부안군 줄포면 농공단지길 14-7,전라북도 부안군 줄포면 장동리 741-10 (유)삼현조명,,0639030088,0639003606,jusugnin35@daum.net,,정보통신공사,,4,1,2,1,5
341,"시설원예, 축산",(유)마루이앤씨,정지연,20040401,정보통신공사,건설업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,O,54363,전라북도 김제시 봉황공단2길 30-3,전라북도 김제시 오정동 170-17,,0635448283,0635448284,mr58842@daum.net,,정보통신공사 전문,,4,1,2,1,3
342,시설원예,주식회사 올레이앤지,장성대,20130503,농자재도소매,도소매,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,40031,경상북도 성주군 성주읍 주산로 46-4,경상북도 성주군 성주읍 예산리 259,올레이앤지,0549331299,0549331289,yocoyota@naver.com,http://olleheng.ewebstory.com/,환경제어기,"측천창자동개폐기,무인방제기,측면운반구,농산물LED수확보조등",7,1,3,3,5
343,시설원예,(주)서원양행,이광,19850911,"스프링쿨러, 원예시설, 일반프라스특선, 봉, 관, 호스, 토공사업, 철근/콘크리트공사업, 상하수도설비공사업, 운동경기용구, 전자상거래","건설, 도매, 제조",O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,14555,경기도 부천시 부천로198번길 17,경기도 부천시 춘의동 165-3,(주)서원양행,0326630033,0326639033,agri@seowonco.com,http://www.seowonco.com/,-,"스프링클러, 원예시설, 양액시스템, 센서장비, 일반 플라스틱 선, 봉, 관, 호스, 토공산업 외",126,76,40,10,3
344,"시설원예, 축산",주식회사 가람산업개발,이순태,20080115,건설업,"전기공사,정보통신공사",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,58325,전라남도 나주시 중야2길 14,전라남도 나주시 빛가람동 336-3 레이크 뷰 타워,레이크뷰타워 304호,0613340343,0613340344,garam0343@hanmail.net,,정보통신공사전문,,15,4,8,3,4
345,"시설원예, 축산",(주)아이씨티,김영종,20150223,"폐쇄회로카메라, 정보통신공사업","제조업, 건설업",O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,O,61042,광주광역시 북구 용전마을길59번길 18,광주광역시 북구 용전동 609-4,,0625769984,0625144344,ict-com@daum.net,,"CCTV 카메라, 정보통신공사전문, 무인비행장치(드론)",,7,2,4,1,3
346,"시설원예, 축산",우수이앤씨주식회사,배영자,20070326,건설업,전기공사업.정보통신공사업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,24210,강원도 춘천시 동면 공단로70번길 220,강원도 춘천시 동면 장학리 606-3,우수이앤씨주식회사,0332611943,05053717867,baeho5@nate.com,,정보통신공사 전문,,9,3,3,3,6
347,"시설원예, 축산",(주)풍양기업,문정윤,19870101,"건설업,도매업","전기,소방,정보통신공사업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,17955,경기도 평택시 포승읍 여술1길 96,경기도 평택시 포승읍 도곡리 1117-10 서평택 삼익 마에스트로,208호,0316820754,0316820473,wj75614@hanmail.net,,정보통신공사 전문,,,6,0,0,22
348,시설원예,그린팜테크,박현태,20210429,농업용 기계 및 장비,도매 및 소매업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,50406,경상남도 밀양시 무안면 무안로 6,경상남도 밀양시 무안면 신법리 264-6,1층 그린팜테크,01036398717,05043908717,qkrgusxo001@naver.com,,양액기 관비기 환경제어기 환경관리기,,1,1,0,0,1
349,시설원예,(주)우리이엔시,이연진,20110715,정보통신공사업 외,건설업 외,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,13201,경기도 성남시 중원구 갈마치로 302,경기도 성남시 중원구 상대원동 144-3 성남우림라이온스밸리5차,A동 205호,0316983445,0316983446,woorienc@woorienc.co.kr,www.woorienc.co.kr,정보통신공사업전문,,7,2,4,1,4
350,"시설원예, 축산",주식회사 제이에스바이오,이정석,20200513,"제조업, 도소매업",분사기 및 소화기,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,62464,광주광역시 광산구 진곡산단3번로 41-18,광주광역시 광산구 진곡동 633,"나동, 제이에스바이오",0629543088,0629543089,jsbio2020@daum.net,,살균소독기계 전문,,6,1,4,1,3
351,"시설원예, 축산",(주)엠코피아,홍덕기,20040201,"배전반 및 전기자동제어반 제조(28123) 전가지ㅣ 측정, 시험분석 및 분석기구 제조(27212)",제조업,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,08592,서울특별시 금천구 가산디지털2로 14,서울특별시 금천구 가산동 327-32 대륭테크노타운12차,402호,024986612,024986564,donmaker@mcopia.com,www.mcopia.com,"스마트팜 HW, SW",,7,1,5,1,2
352,"시설원예, 축산",(주)오피네트웍스,김성연,20110601,도소매업,CCTV,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,10117,경기도 김포시 장릉1로 28,경기도 김포시 풍무동 38-21,(주)오피네트웍스,0216612546,0262809756,opnetwork@hotmail.com,www.iwatchyou.co.kr,없음,"cctv, dvr, nvr , ipc",7,2,1,4,2
353,"시설원예, 축산",주식회사 믿음정보통신,권안석,20111206,통신공사업,인터넷네트워크설치및유지관리업외,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,31155,충청남도 천안시 서북구 서부대로 440,충청남도 천안시 서북구 쌍용동 910,,0415766699,0415764488,net3835@naver.com,cctvas.co.kr,정보통신공사전문,"CCTV,주차차단기,음향장비",9,1,5,3,2
354,시설원예,청년정보통신&코콤거제점,임동현,20181126,건설업,정보통신공사업,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,53258,경상남도 거제시 거제중앙로 1829,경상남도 거제시 고현동 176-4,1층 좌측호 청년정보통신,0556360090,0556360090,youth_kocom@naver.com,,정보통신공사전문,,4,1,1,2,1
355,"시설원예, 축산",주식회사 엔스텝,김영선,20120406,제조업외,농축산의 스마트제어장치 및 관련부품,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,O,O,X,17704,경기도 평택시 서탄면 사리안길 12,경기도 평택시 서탄면 사리 535-1,A,0318313701,0318319778,ysun21k@gmail.com,,스마트팜제어장치,,3,1,2,0,3
356,"시설원예, 축산",주식회사 나인정보통신,장명순,20180328,"통신공사, CCTV","건설업, 도소매",O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,63077,제주특별자치도 제주시 주르레남길 52,제주특별자치도 제주시 해안동 36-69,,0647474396,0647024396,telenine@naver.com,,"통신공사, CCTV",,6,1,4,1,3
357,"시설원예, 축산",(주)지엔씨원,이미자,20140122,"건설,제조","정보통신공사업,자동제어",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,05646,서울특별시 송파구 오금로31길 27,서울특별시 송파구 방이동 212-8 코오롱아파트,코오롱아파트비상가205호,024452061,024459169,kbos2007@naver.com,,정보통신공사전문,,4,1,2,1,1
358,"시설원예, 축산",주식회사 바른보안,채정수,20171227,도소매,컴퓨터 및 주변기기,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,13025,경기도 하남시 산곡동로 94,경기도 하남시 하산곡동 301-8,2층 주식회사 바른보안,07042149560,0264559562,jhc@barunsecu.com,htttp://www.barunsecu.com,"CCTV,NVR(녹화기),무선브릿지","CCTV,NVR(녹화기),무선브릿지",5,2,1,2,3
359,"시설원예, 축산",주식회사 이원온실산업,이영열,20180418,건설업,"건설업, 도매 및 소매업",O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,31749,충청남도 당진시 신평면 서해로 6926-26,충청남도 당진시 신평면 거산리 427-13,,0413632205,0413632206,lyr1234@hanmail.net,온실.kr,"복합환경제어기,관비기","농업용파이프,농업용필름,농업용부직포,관수자재",2,0,1,1,2
360,"시설원예, 축산",주식회사 스카다아이씨티,황재하,20190620,제조업,기구설계및가공,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,07802,서울특별시 강서구 공항대로 219,서울특별시 강서구 마곡동 774-3 센테니아,607호,00269563035,07079663045,smartfactory@scadaict.com,http://scadaict.com,"스마트팜 솔루션(제어 및 모니터링), 복합환경제어판넬",,10,0,10,0,10
361,"시설원예, 축산",(주)텔라움,김형엽,19800507,유무선통신기기,제조업,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,14490,경기도 부천시 수도로 149,경기도 부천시 내동 201,4층,0322222000,0322222001,minholee@telaum.com,http://www.telaum.com/,유무선통신기기,,30,8,11,11,4
362,시설원예,(주)희망건설,조미경,20150105,"금속구조물,창호공사업,비닐하우스시공","건설업,소매업",O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,24016,강원도 철원군 동송읍 북원로 1307,강원도 철원군 동송읍 이평리 561,,0334551711,0334551712,bestwoman01@hanmail.net,,"외부온습도센서,풍향센서,풍속센서,일사센서,감우센서,내부온습도센서,CO2센서,지온지습센서,토양EC센서,KT스마트팜소프트웨어",,3,1,1,1,1
363,"시설원예, 축산",주식회사 유로시스템,홍종표,20150511,"도매,소매","산업농기계,장비,무역",O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,O,X,18000,경기도 평택시 팽성읍 신궁2길 117,경기도 평택시 팽성읍 신궁리 144-26,1동 유로시스템,07086506256,07086506258,mssystem1@naver.com,,"환경관리기,종합콘트롤,자동급이기,자동급수기,음수관리기,각종센서,환풍기외",,3,2,0,1,3
364,"시설원예, 축산",투윈스 주식회사,김지영,20120701,건설업,정보통신공사,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,61228,광주광역시 북구 독립로375번길 9-5,광주광역시 북구 중흥동 644-13,1층,0625281770,0625114512,twowins84@daum.net,,정보통신공사업 전문,"CCTV, 무인계수시스템,열화상통합감시 솔루션,방송기기,주차관제,출입통제,비상벨시스템 ",6,3,1,2,2
365,"시설원예, 축산",선우정보통신,한근희,20120104,"CCTV설치,IOT원격제어기, 컴퓨터 외","도소매,제조업,건설업",O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,33330,충청남도 청양군 청양읍 칠갑산로 211,충청남도 청양군 청양읍 읍내리 284-17,1층 선우정보통신,0419438297,0419428294,31004100@hanmail.net,,"축사 및 비닐하우스 IOT제어, CCTV설치",,1,1,0,0,1
366,"시설원예, 축산",메를로랩,신소봉,20120613,친환경저전력반도체 전자상거래,제조 도소매 서비스,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,X,08511,서울특별시 금천구 디지털로9길 47,서울특별시 금천구 가산동 60-18 한신IT 타워2차,801~803,028621700,028687140,salse@merlotlab.com,https://soyori.co.kr/,"스마트공장등,스마트RGB투광등,스마트면조명,Iot조명시스템",,32,10,15,7,3
367,"시설원예, 축산",(주)더좋은나무,김영주,20161130,도매 및 소매업,"조명장치 도,소매업",O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,04554,서울특별시 중구 수표로4길 12,서울특별시 중구 충무로3가 59-14,정현빌딩 1층,0262611300,0260209858,goodtree2016@daum.net,,"스마트RGB전구, 스마트2Cplor전구,스마트RGB투광등,IotDC공장등","스마트RGB전구, 스마트2Cplor전구,스마트RGB투광등,IotDC공장등",3,1,0,2,1
368,"시설원예, 축산",주식회사 다봄씨엔에스,정진,20171102,도소매업,CCTV,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,05641,서울특별시 송파구 백제고분로 464,서울특별시 송파구 방이동 110-5 대륙빌딩,대륙빌딩 402호,18336213,0260085898,info@dabomcns.com,http://www.dabomcns.com/,CCTV,,5,2,0,3,2
369,"시설원예, 축산",와이즈팩토리,오재훈,20210205,"서비스업,도매업",소프트웨어자문및개발공급,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,44951,울산광역시 울주군 삼남읍 도호1길 23,울산광역시 울주군 삼남읍 신화리 1610-3 KTX월드메르디앙W오피스텔,KTX블록 309호,0522363278,05089093278,jhoh@factoryis.kr,,"당도측정기(Smart Sugar Meter), 환경정보수집기(Wise Eye: 온도,습도, 분진, 진동, 열상, 영상), 게이트웨어(Wise Hub: Serial 2 TCP)",SSFarm(Smart Safety Farm): 시설위험감지모니터링시스템,3,0,3,0,3
370,"시설원예, 축산",진안테크,김용원,19971110,스마트팜기기.농축산자재,소매업.서비스,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,37180,경상북도 상주시 삼백로 117,경상북도 상주시 서문동 52,진안테크,0545364328,0545364329,hyun4287@hanmail.net,,"환경제어기,발정탐지기.분만알리미.한우야",CCTV,3,1,0,2,2
371,"시설원예, 축산",예상네트웍스,김민정,20210330,CCTV,도매 및 소매업,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,X,12248,경기도 남양주시 다산중앙로19번길 25-23,경기도 남양주시 다산동 6144-1,946호 예상네트웍스,18339793,000000000,ceo@yesang.net,,CCTV,,3,1,1,1,1
372,시설원예,농업회사법인(주)AIBOX,박정현,20210409,"농업,제조업,도소매업,서비스업","작물재배업,농업용기기제조업,통신판매업,농업컨설팅",O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,40037,경상북도 성주군 월항면 월항로 347,경상북도 성주군 월항면 용각리 1133-1,1층,01066548618,0549723241,aibox1004@naver.com,제작중,"정밀무인화관비시스템,자동부직포무인화장치,단동형정밀환경제어시스템","자동부직포개폐기,자동측창및천창개폐기, 기타 컨트롤판넬",3,1,1,2,2
